,2000,3000,5000
211,2051,3057,5139
212,2058,3030,5120
213,2119,3074,5018
214,2097,3149,5043
215,2116,3056,5090
216,2028,3296,5029
217,2123,3121,5059
218,2066,3032,5068
219,2222,3097,5334
220,2049,3118,5060
221,2083,3068,5158
222,2459,3041,5046
223,2032,3094,5040
224,2120,3056,5173
225,2044,3087,5064
226,2203,3197,5033
227,2044,3053,5033
228,2119,3069,5122
229,2071,3081,5027
230,2062,3115,5025
231,2046,3038,5027
232,2209,3056,5071
233,2116,3207,5047
234,2046,3102,5204
235,2161,3123,5058
236,2072,3164,5057
237,2140,3193,5106
238,2233,3417,5073
239,2167,3123,5030
240,2038,3349,5026
241,2043,3156,5062
242,2094,3026,5184
243,2152,3065,5128
244,2065,3111,5134
245,2020,3067,5029
246,2092,3063,5048
247,2434,3216,5080
248,2124,3295,5073
249,2055,3039,5124
250,2132,3041,5061
251,2057,3024,5090
252,2193,3053,5053
253,2051,3047,5359
254,2136,3128,5137
255,2036,3070,5078
256,2860,3145,5030
257,2046,3080,5046
258,2425,3091,5159
259,2060,3138,5062
260,2242,3038,5203
261,2041,3036,5096
262,2095,3047,5097
263,2265,3086,5150
264,2054,3088,5167
265,2050,3069,5119
266,2067,3154,5116
267,2169,3078,5074
268,2028,3021,5041
269,2037,3456,5040
270,2080,3154,5055
271,2076,3047,5034
272,2077,3039,5093
273,2116,3141,5136
274,2236,3056,5036
275,2045,3067,5108
276,2052,3128,5043
277,2036,3217,5034
278,2214,3290,5053
279,2384,3067,5101
280,2082,3043,5039
281,2082,3043,5034
282,2134,3038,5050
283,2034,3085,5106
284,2078,3049,5064
285,2097,3042,5041
286,2119,3070,5060
287,2118,3137,5049
288,2032,3076,5124
289,2030,3030,5079
290,2057,3092,5097
291,2262,3067,5076
292,2062,3038,5030
293,2069,3072,5242
294,2028,3084,5139
295,2047,3102,5059
296,2286,3276,5171
297,2080,3133,5104
298,2211,3444,5116
299,2178,3077,5140
300,2035,3051,5099
301,2134,3198,5160
302,2077,3424,5074
303,2074,3055,5340
304,2030,3057,5068
305,2215,3069,5203
306,2059,3062,5193
307,2280,3092,5029
308,2071,3045,5207
309,2226,3051,5072
310,2083,3284,5149
311,2213,3185,5246
312,2057,3060,5035
313,2093,3295,5083
314,2028,3049,5138
315,2038,3064,5080
316,2111,3060,5054
317,2159,3053,5040
318,2041,3160,5169
319,2044,3186,5052
320,2030,3054,5059
321,2042,3064,5056
322,2201,3129,5148
323,2045,3086,5054
324,2058,3036,5218
325,2097,3038,5099
326,2223,3036,5121
327,2067,3089,5140
328,2218,3040,5050
329,2207,3044,5032
330,2083,3079,5125
331,2080,3180,5043
332,2027,3061,5046
333,2044,3134,5050
334,2045,3026,5048
335,2027,3034,5024
336,2056,3029,5148
337,2051,3157,5073
338,2048,3040,5069
339,2124,3040,5180
340,2099,3122,5059
341,2054,3089,5058
342,2053,3215,5434
343,2116,3140,5062
344,2050,3029,5050
345,2047,3063,5101
346,2076,3202,5116
347,2043,3121,5078
348,2190,3035,5079
349,2059,3041,5060
350,2334,3021,5191
351,2071,3042,5180
352,2159,3049,5039
353,2064,3027,5062
354,2086,3147,5103
355,2363,3105,5045
356,2215,3050,5080
357,2060,3068,5281
358,2165,3106,5078
359,2105,3036,5340
360,2086,3072,5097
361,2217,3095,5131
362,2084,3042,5065
363,2058,3187,5211
364,2050,3070,5022
365,2050,3050,5052
366,2094,3101,5103
367,2087,3081,5038
368,2052,3147,5048
369,2103,3207,5083
370,2022,3180,5065
371,2258,3061,5162
372,2230,3206,5526
373,2101,3050,5049
374,2071,3148,5081
375,2152,3087,5188
376,2400,3077,5603
377,2242,3070,5037
378,2045,3319,5032
379,2046,3056,5311
380,2082,3032,5305
381,2064,3061,5593
382,2256,3032,5034
383,2130,3040,5051
384,2060,3049,5055
385,2083,3051,5057
386,2087,3054,5033
387,2167,3080,5040
388,2084,3347,5068
389,2161,3138,5050
390,2126,3065,5126
391,2061,3076,5036
392,2078,3105,5234
393,2034,3053,5067
394,2066,3051,5179
395,2239,3094,5047
396,2054,3093,5074
397,2175,3124,5074
398,2132,3262,5040
399,2136,3024,5232
400,2127,3100,5072
401,2038,3036,5185
402,2085,3030,5275
403,2117,3023,5081
404,2190,3032,5246
405,2067,3153,5023
406,2027,3035,5283
407,2074,3060,5272
408,2039,3397,5103
409,2034,3059,5106
410,2071,3057,5227
411,2027,3131,5255
412,2040,3023,5030
413,2046,3276,5039
414,2056,3271,5196
415,2068,3047,5230
416,2058,3036,5039
417,2067,3034,5054
418,2187,3105,5504
419,2076,3046,5043
420,2172,3089,5051
421,2049,3077,5036
422,2075,3061,5078
423,2088,3036,5064
424,2093,3516,5024
425,2084,3047,5068
426,2037,3074,5023
427,2099,3150,5050
428,2032,3057,5022
429,2039,3130,5153
430,2022,3084,5050
431,2201,3065,5051
432,2472,3212,5140
433,2029,3050,5061
434,2041,3060,5137
435,2082,3148,5662
436,2031,3048,5051
437,2109,3256,5058
438,2096,3050,5036
439,2431,3038,5054
440,2043,3115,5053
441,2061,3055,5157
442,2359,3035,5093
443,2298,3039,5118
444,2056,3041,5032
445,2598,3056,5084
446,2061,3262,5261
447,2089,3068,5077
448,2026,3081,5033
449,2030,3090,5045
450,2120,3053,5027
451,2082,3043,5130
452,2052,3304,5078
453,2088,3054,5037
454,2160,3053,5045
455,2054,3134,5245
456,2324,3040,5064
457,2252,3158,5126
458,2159,3037,5062
459,2159,3144,5246
460,2042,3061,5090
461,2431,3111,5112
462,2120,3054,5061
463,2087,3067,5345
464,2062,3051,5121
465,2251,3038,5049
466,2048,3072,5048
467,2148,3137,5024
468,2028,3048,5127
469,2034,3030,5061
470,2062,3197,5398
471,2158,3102,5112
472,2160,3065,5029
473,2043,3067,5101
474,2160,3033,5120
475,2272,3193,5086
476,2056,3055,5049
477,2094,3336,5045
478,2146,3055,5134
479,2062,3072,5167
480,2043,3050,5132
481,2042,3067,5024
482,2161,3036,5069
483,2220,3161,5067
484,2112,3050,5233
485,2258,3065,5262
486,2030,3457,5038
487,2900,3162,5031
488,2070,3041,5132
489,2049,3081,5050
490,2171,3067,5154
491,2026,3101,5207
492,2166,3036,5037
493,2177,3114,5031
494,2064,3304,5208
495,2248,3342,5046
496,2133,3044,5231
497,2146,3029,5053
498,2313,3056,5070
499,2058,3061,5245
500,2278,3227,5100
501,2076,3080,5100
502,2108,3065,5329
503,2101,3087,5051
504,2058,3056,5045
505,2094,3050,5115
506,2033,3064,5046
507,2078,3104,5095
508,2063,3046,5139
509,2507,3085,5127
510,2028,3128,5052
511,2292,3020,5045
512,2089,3050,5140
513,2143,3159,5034
514,2025,3451,5218
515,2026,3101,5028
516,2032,3033,5058
517,2073,3119,5104
518,2046,3020,5044
519,2148,3362,5182
520,2030,3028,5093
521,2091,3046,5031
522,2028,3052,5035
523,2038,3274,5041
524,2075,3053,5075
525,2096,3045,5102
526,2326,3067,5060
527,2064,3116,5118
528,2080,3171,5071
529,2427,3046,5173
530,2121,3036,5126
531,2054,3043,5048
532,2200,3067,5063
533,2053,3114,5326
534,2035,3085,5041
535,2026,3119,5165
536,2288,3165,5044
537,2248,3133,5071
538,2254,3326,5104
539,2038,3148,5038
540,2053,3057,5080
541,2147,3096,5084
542,2053,3028,5027
543,2115,3161,5038
544,2057,3134,5046
545,2026,3159,5056
546,2056,3084,5070
547,2061,3095,5086
548,2049,3264,5050
549,2048,3144,5095
550,2065,3057,5354
551,2183,3115,5151
552,2045,3167,5036
553,2048,3063,5037
554,2040,3031,5043
555,2024,3077,5036
556,2032,3091,5245
557,2202,3036,5243
558,2233,3054,5034
559,2045,3279,5628
560,2047,3367,5200
561,2154,3073,5048
562,2149,3076,5086
563,2087,3295,5042
564,2175,3047,5230
565,2150,3055,5301
566,2052,3104,5039
567,2036,3080,5170
568,2080,3034,5065
569,2077,3389,5118
570,2049,3033,5032
571,2246,3208,5034
572,2026,3485,5095
573,2077,3152,5073
574,2128,3036,5068
575,2046,3110,5061
576,2132,3179,5053
577,2026,3085,5132
578,2169,3116,5080
579,2481,3117,5376
580,2062,3418,5097
581,2253,3136,5048
582,2106,3046,5195
583,2245,3038,5033
584,2033,3040,5319
585,2109,3052,5042
586,2104,3053,5048
587,2064,3070,5062
588,2045,3035,6902
589,2157,3489,5047
590,2062,3051,5049
591,2162,3211,5058
592,2159,3038,5041
593,2053,3054,5075
594,2090,3057,5043
595,2074,3056,5047
596,2126,3067,5089
597,2368,3069,5038
598,2074,3060,5077
599,2125,3129,5064
600,2113,3036,5104
601,2032,3051,5139
602,2136,3069,5051
603,2125,3084,5028
604,2143,3037,5084
605,2068,3100,5078
606,2076,3124,5210
607,2066,3098,5042
608,2033,3073,5202
609,2067,3494,5090
610,2237,3040,5046
611,2043,3091,6009
612,2095,3041,5114
613,2034,3191,5317
614,2052,3043,5054
615,2032,3151,5083
616,2257,3079,5048
617,2065,3128,5035
618,2152,3022,5138
619,2100,3037,5111
620,2043,3099,5071
621,2070,3032,5128
622,2068,3040,5088
623,2095,3051,5054
624,2346,3058,5116
625,2152,3027,5026
626,2019,3047,5174
627,2060,3034,5036
628,2456,3028,5431
629,2191,3080,5053
630,2040,3157,5133
631,2037,3043,5082
632,2061,3157,5247
633,2068,3069,5317
634,2373,3045,5097
635,2135,3035,5050
636,2189,3239,5103
637,2292,3062,5037
638,2178,3025,5266
639,2075,3054,5041
640,2073,3055,5184
641,2074,3182,5169
642,2024,3058,5065
643,2114,3025,5050
644,2052,3029,5044
645,2118,3183,5031
646,2035,3031,5034
647,2125,3268,5087
648,2094,3108,5501
649,2038,3198,5041
650,2084,3179,5148
651,2339,3087,5448
652,2062,3026,5043
653,2070,3023,5051
654,2151,3185,5094
655,2172,3098,5083
656,2077,3044,5043
657,2069,3040,5299
658,2072,3280,5070
659,2089,3055,5051
660,2058,3061,5103
661,2163,3111,5065
662,2074,3122,5073
663,2052,3134,5098
664,2122,3108,5096
665,2083,3127,5175
666,2161,3047,5218
667,2058,3050,5102
668,2070,3122,5057
669,2066,3050,5122
670,2064,3104,5040
671,2309,3028,5069
672,2118,3207,5038
673,2091,3051,5124
674,2189,3158,5051
675,2289,3028,5056
676,2075,3056,5055
677,2093,3217,5034
678,2064,3078,5065
679,2100,3037,5048
680,2033,3116,5092
681,2083,3070,5053
682,2262,3087,5227
683,2161,3072,5061
684,2234,3075,5048
685,2144,3076,5097
686,2135,3116,5075
687,2048,3139,5055
688,2286,3048,5100
689,2032,3055,5157
690,2041,3047,5240
691,2103,3127,5093
692,2021,3112,5456
693,2045,3066,5227
694,2086,3045,5103
695,2153,3126,5131
696,2214,3042,5156
697,2046,3021,5306
698,2155,3016,5048
699,2036,3027,5054
700,2318,3162,5078
701,2056,3268,5286
702,2820,3037,5034
703,2176,3070,5032
704,2046,3109,5096
705,2089,3036,5016
706,2068,3147,5113
707,2088,3067,5118
708,2081,3334,5527
709,2046,3365,5058
710,2052,3067,5049
711,2027,3084,5037
712,2037,3044,5110
713,2067,3140,5053
714,2338,3199,5078
715,2082,3034,5138
716,2067,3046,5027
717,2023,3046,5081
718,2151,3026,5040
719,2049,3165,5218
720,2090,3046,5058
721,2026,3035,5065
722,2054,3058,5022
723,2220,3234,5140
724,2068,3060,5059
725,2191,3220,5123
726,2109,3089,5042
727,2092,3218,5130
728,2092,3046,5335
729,2104,3138,5370
730,2041,3205,5156
731,2028,3081,5099
732,2132,3106,5354
733,2115,3035,5147
734,2043,3053,5040
735,2191,3213,5178
736,2074,3055,5073
737,2056,3066,5039
738,2039,3036,5163
739,2098,3165,5458
740,2171,3091,5095
741,2142,3078,5018
742,2074,3081,5065
743,2198,3039,5179
744,2330,3032,5052
745,2040,3054,5058
746,2211,3031,5288
747,2059,3059,5320
748,2121,3220,5026
749,2037,3173,5068
750,2042,3068,5021
751,2055,3238,5068
752,2557,3170,5045
753,2149,3129,5048
754,2099,3257,5057
755,2040,3075,5027
756,2099,3093,5071
757,2513,3090,5124
758,2039,3056,5177
759,2034,3031,5075
760,2129,3062,5038
761,2111,3055,5095
762,2042,3098,5069
763,2042,3174,5081
764,2090,3052,5249
765,2192,3071,5178
766,2051,3109,5082
767,2051,3024,5026
768,2100,3037,5141
769,2069,3194,5093
770,2030,3071,5030
771,2121,3093,5037
772,2074,3046,5143
773,2099,3069,5158
774,2094,3033,5077
775,2074,3112,5045
776,2349,3062,5132
777,2037,3094,5222
778,2270,3056,5067
779,2221,3057,5027
780,2131,3049,5219
781,2049,3056,5054
782,2029,3076,5038
783,2058,3240,5080
784,2212,3081,5095
785,2128,3042,5102
786,2074,3138,5096
787,2143,3030,5067
788,2082,3054,5094
789,2196,3121,5136
790,2094,3032,5090
791,2133,3029,5034
792,2036,3166,5043
793,2034,3029,5071
794,2129,3260,5038
795,2086,3033,5046
796,2077,3153,5170
797,2122,3057,5070
798,2045,3097,5051
799,2115,3135,5304
800,2186,3142,5141
801,2076,3083,5138
802,2131,3145,5078
803,2264,3088,5286
804,2034,3045,5047
805,2091,3030,5118
806,3305,3460,5041
807,2243,3068,5043
808,2046,3065,5043
809,2045,3421,5076
810,2120,3072,5293
811,2237,3072,5116
812,2048,3048,5096
813,2157,3063,5181
814,2121,3211,5434
815,2176,3071,5117
816,2240,3047,5031
817,2070,3109,5043
818,2067,3159,5077
819,2038,3049,5063
820,2107,3174,5073
821,2067,3042,5052
822,2073,3098,5159
823,2085,3056,5112
824,2219,3107,5082
825,2042,3031,5375
826,2200,3080,5082
827,2121,3048,5126
828,2195,3053,5056
829,2082,3105,5038
830,2180,3095,5107
831,2310,3067,5267
832,2058,3049,5101
833,2112,3100,5039
834,2044,3067,5081
835,2103,3075,5084
836,2037,3066,5026
837,2036,3313,5077
838,2152,3155,5086
839,2098,3050,5036
840,2071,3049,5108
841,2298,3206,5051
842,2022,3024,5071
843,2089,3055,5077
844,2142,3142,5070
845,2090,3037,5138
846,2099,3232,5273
847,2069,3043,5231
848,2058,3044,5026
849,2207,3080,5124
850,2046,3033,5063
851,2077,3167,5037
852,2138,3076,5072
853,2048,3095,5019
854,2361,3106,5135
855,2043,3223,5210
856,2058,3247,5031
857,2067,3033,5032
858,2040,3156,5043
859,2094,3083,5051
860,2197,3101,5034
861,2406,3067,5038
862,2058,3047,5134
863,2050,3205,5049
864,2137,3109,5044
865,2020,3071,5048
866,2039,3324,5184
867,2094,3054,5116
868,2269,3066,5037
869,2081,3092,5123
870,2051,3164,5048
871,2108,3193,5048
872,2051,3048,5175
873,2044,3086,5108
874,2051,3307,5033
875,2047,3280,5062
876,2128,3130,5171
877,2072,3260,5160
878,2068,3051,5131
879,2080,3045,5263
880,2089,3120,5028
881,2021,3034,5173
882,2067,3180,5088
883,2043,3032,5244
884,2041,3253,5155
885,2417,3209,5045
886,2070,3238,5517
887,2062,3060,5040
888,2104,3046,5154
889,2054,3066,5198
890,2031,3414,5095
891,2070,3097,5094
892,2128,3077,5015
893,2035,3121,5417
894,2038,3588,5094
895,2074,3037,5052
896,2145,3048,5034
897,2143,3118,5026
898,2087,3025,5069
899,2066,3238,5123
900,2173,3053,5040
901,2058,3032,5365
902,2073,3039,5046
903,2090,3069,5062
904,2056,3051,5039
905,2033,3036,5080
906,2036,3104,5089
907,2372,3053,5077
908,2167,3064,5141
909,2121,3062,5038
910,2105,3064,5066
911,2054,3039,5043
912,2074,3094,5105
913,2189,3108,5420
914,2145,3184,5059
915,2213,3199,6516
916,2071,3089,5042
917,2071,3185,5042
918,2037,3173,5047
919,2057,3164,5025
920,2081,3099,5273
921,2114,3047,5061
922,2175,3201,5108
923,2222,3074,5061
924,2084,3059,5025
925,2025,3253,5217
926,2078,3046,5090
927,2093,3143,5124
928,2139,3095,5032
929,2039,3050,5072
930,2166,3157,5072
931,2182,3042,5034
932,2238,3092,5167
933,2070,3115,5093
934,2099,3023,5102
935,2034,3051,5033
936,2053,3082,5053
937,2075,3083,5333
938,2146,3177,5058
939,2102,3053,5064
940,2055,3056,5086
941,2041,3076,5031
942,2105,3188,5074
943,2063,3202,5210
944,2043,4032,5103
945,2045,3124,5154
946,2025,3226,5113
947,2050,3393,5052
948,2070,3116,5593
949,2053,3020,5177
950,2042,3051,5032
951,2101,3037,5074
952,2060,3066,5199
953,2053,3046,5107
954,2040,3119,5038
955,2087,3083,5049
956,2192,3053,5040
957,2046,3066,5072
958,2159,3115,5120
959,2047,3164,5027
960,2063,3034,5256
961,2040,3199,5066
962,2133,3138,5170
963,2063,3103,5053
964,2135,3058,5168
965,2113,3084,5068
966,2038,3068,5059
967,2021,3095,5065
968,2038,3300,5056
969,2117,3138,5078
970,2147,3068,5056
971,2088,3058,5195
972,2025,3044,5165
973,2092,3092,5078
974,2220,3083,5950
975,2138,3021,5068
976,2059,3047,5047
977,2037,3046,5338
978,2040,3039,5097
979,2093,3087,5140
980,2038,3075,5065
981,2043,3218,5177
982,2088,3268,5068
983,2134,3024,5073
984,2056,3041,5059
985,2339,3111,5053
986,2343,3108,5066
987,2027,3108,5023
988,2033,3088,5219
989,2291,3030,5203
990,2059,3040,5100
991,2048,3056,5041
992,2135,3121,5224
993,2271,3080,5113
994,2043,3097,5103
995,2030,3051,5066
996,2030,3357,5034
997,2047,3157,5387
998,2069,3052,5103
999,2067,3059,5219
1000,2224,3056,5109
1001,2371,3085,5049
1002,2100,3044,5451
1003,2221,3060,5071
1004,2036,3104,5231
1005,2073,3032,5157
1006,2279,3051,5087
1007,2035,3034,5038
1008,2160,3041,5088
1009,2035,3196,5040
1010,2082,3034,5117
1011,2031,3093,5174
1012,2030,3074,5159
1013,2110,3066,5051
1014,2042,3031,5048
1015,2279,3157,5083
1016,2126,3272,5060
1017,2073,3043,5039
1018,2106,3174,5120
1019,2154,3163,5074
1020,2067,3068,5166
1021,2187,3072,5100
1022,2045,3070,5049
1023,2085,3065,5044
1024,2032,3051,5110
1025,2051,3148,5036
1026,2066,3052,5215
1027,2080,3578,5024
1028,2058,3071,5054
1029,2237,3123,5065
1030,2032,3171,5039
1031,2354,3056,5113
1032,2061,3069,5047
1033,2267,3228,5223
1034,2041,3284,5152
1035,2125,3153,5197
1036,2045,3218,5434
1037,2197,3042,5082
1038,2050,3105,5040
1039,2248,3220,5104
1040,2088,3119,5059
1041,2455,3044,5059
1042,2051,3050,5109
1043,2048,3079,5139
1044,2146,3094,5089
1045,2211,3060,5286
1046,3151,3119,5192
1047,2055,3024,5045
1048,2474,3302,5037
1049,2035,3113,5027
1050,2069,3089,5434
1051,2167,3034,5048
1052,2092,3139,5174
1053,2186,3063,5081
1054,2123,3049,5052
1055,2030,3229,5049
1056,2104,3101,5178
1057,2072,3052,5051
1058,2076,3054,5036
1059,2120,3088,5171
1060,2020,3055,5315
1061,2061,3105,5148
1062,2125,3041,5101
1063,2527,3417,5024
1064,2053,3087,5100
1065,2239,3146,5047
1066,2916,3127,5045
1067,2072,3074,5058
1068,2133,3100,5054
1069,2040,3057,5054
1070,2045,3051,5186
1071,2089,4033,5170
1072,2256,3109,5089
1073,2092,3045,5034
1074,2121,3038,5072
1075,2297,3117,5109
1076,2194,3020,5127
1077,2062,3030,5069
1078,2068,3214,5223
1079,2035,3054,5095
1080,2063,3113,5086
1081,2044,3183,5051
1082,2391,3041,5080
1083,2025,3140,5060
1084,2244,3066,5046
1085,2064,3069,5256
1086,2049,3088,5027
1087,2038,3058,5058
1088,2142,3121,5029
1089,2132,3267,5109
1090,2039,3128,5170
1091,2173,3119,5041
1092,2045,3040,5025
1093,2292,3068,5050
1094,2056,3070,5091
1095,2109,3151,5078
1096,2051,3438,5057
1097,2061,3028,5288
1098,2160,3029,5129
1099,2054,3089,5263
1100,2045,3150,5159
1101,2075,3080,5038
1102,2019,3029,5193
1103,2032,3024,5030
1104,2100,3073,5025
1105,2063,3065,5162
1106,2102,3139,5143
1107,2035,3152,5327
1108,2035,3053,5175
1109,2029,3076,5105
1110,2080,3043,5182
1111,2050,3024,5237
1112,2073,3175,5177
1113,2144,3058,5092
1114,2037,3077,5085
1115,2047,3164,5028
1116,2190,3035,5300
1117,2126,3046,5147
1118,2189,3066,5064
1119,2045,3050,5147
1120,2078,3038,5033
1121,2018,3072,5095
1122,2126,3073,5054
1123,2036,3129,5195
1124,2066,3026,5037
1125,2031,3189,5158
1126,2122,3037,5068
1127,2337,3047,5113
1128,2262,3070,5135
1129,2069,3191,5041
1130,2098,3030,5064
1131,2062,3059,5124
1132,2102,3035,5029
1133,2035,3039,5050
1134,2144,3047,5041
1135,2029,3614,5199
1136,2120,3044,5100
1137,2047,3203,5143
1138,2201,3103,5090
1139,2146,3320,5285
1140,2106,3092,5059
1141,2058,3037,5085
1142,2053,3044,5090
1143,2094,3045,5077
1144,2033,3057,5063
1145,2119,3077,5121
1146,2051,3158,5052
1147,2204,3164,5055
1148,2055,3073,5092
1149,2063,3111,5033
1150,2084,3141,5046
1151,2028,3034,5112
1152,2034,3054,5026
1153,2207,3085,5031
1154,2070,3134,5041
1155,2038,3041,5145
1156,2146,3053,5043
1157,2045,3092,5033
1158,2055,3047,5151
1159,2069,3049,5110
1160,2209,3086,5048
1161,2060,3142,5156
1162,2228,3071,5045
1163,2047,3045,5205
1164,2097,3047,5105
1165,2075,3072,5118
1166,2079,3061,5170
1167,2157,3042,5029
1168,2051,3212,5154
1169,2058,3083,5072
1170,2050,3104,5031
1171,2046,3075,5094
1172,2167,3059,5570
1173,2048,3066,5044
1174,2101,3051,5052
1175,2188,3086,5225
1176,2072,4095,5098
1177,2070,3129,5071
1178,2045,3243,5132
1179,2095,3170,5163
1180,2192,3042,5030
1181,2066,3078,5261
1182,2215,3081,5243
1183,2095,3346,5040
1184,2017,3172,5057
1185,2139,3171,5165
1186,2032,3132,5094
1187,2116,3033,5669
1188,2169,3076,5076
1189,2108,3061,5066
1190,2085,3176,5313
1191,2066,3240,5130
1192,2084,3041,5425
1193,2096,3036,5104
1194,2052,3167,5027
1195,2027,3485,5066
1196,2056,3208,5098
1197,2074,3025,5133
1198,2068,3057,5075
1199,2027,3057,5047
1200,2076,3169,5142
1201,2344,3103,5078
1202,2088,3087,5050
1203,2066,3212,5201
1204,2027,3158,5211
1205,2082,3084,5143
1206,3655,3030,5030
1207,2146,3369,5023
1208,2094,3090,5091
1209,2070,3056,5033
1210,2045,3133,5041
1211,2086,3057,5037
1212,2049,3041,5026
1213,2082,3054,5060
1214,2046,3057,5076
1215,2154,3285,5217
1216,2184,3115,5127
1217,2074,3175,5162
1218,2091,3087,5030
1219,2079,3034,5036
1220,2092,3034,5351
1221,2030,3044,5045
1222,2197,3054,5164
1223,2072,3056,5104
1224,2113,3101,5056
1225,2154,3054,5370
1226,2037,3081,5100
1227,2176,3165,5028
1228,2086,3260,5043
1229,2333,3029,5070
1230,2024,3087,5073
1231,2097,3062,5152
1232,2030,3115,5174
1233,2098,3083,5220
1234,2050,3079,5032
1235,2068,3063,5200
1236,2135,3040,5031
1237,2196,3046,5112
1238,2071,3034,5043
1239,2091,3039,5055
1240,2103,3247,5044
1241,2107,3056,5234
1242,2481,3029,5055
1243,2040,3296,5075
1244,2120,3063,5054
1245,2051,3126,5181
1246,2195,3069,5070
1247,2120,3209,5223
