,500,1000,2000,3000
197,777,1268,2057,3025
198,563,1081,2073,3057
199,654,1068,2120,3057
200,539,1055,2282,3169
201,658,1115,2091,3103
202,625,1070,2078,3087
203,746,1047,2051,3212
204,583,1049,2099,3158
205,600,1078,2037,3084
206,568,1161,2126,3030
207,577,1159,2095,3369
208,769,1071,2055,3090
209,553,1151,2066,3056
210,579,1047,2032,3133
211,537,1064,2038,3057
212,563,1061,2135,3041
213,551,1092,2160,3054
214,702,1040,2058,3057
215,925,1112,2038,3285
216,711,1181,2148,3115
217,529,1049,2126,3175
218,585,1035,2105,3087
219,618,1050,2326,3034
220,561,1050,2138,3034
221,563,1047,2085,3044
222,677,1098,2015,3054
223,549,1047,2051,3056
224,736,1110,2029,3101
225,530,1078,2075,3054
226,587,1025,2079,3081
227,643,1072,2054,3165
228,533,1244,2060,3260
229,544,1099,2069,3029
230,561,1035,2141,3087
231,550,1111,2023,3062
232,639,1032,2083,3115
233,665,1028,2073,3083
234,560,1149,2065,3079
235,576,1081,2720,3063
236,585,1147,2079,3040
237,573,1163,2082,3046
238,600,1050,2067,3034
239,694,1047,2108,3039
240,665,1053,2114,3247
241,572,1157,2153,3056
242,674,1373,2308,3029
243,640,1142,2153,3296
244,541,1036,2090,3063
245,651,1233,2186,3126
246,584,1046,2146,3069
247,533,1036,2113,3209
248,623,1116,2143,3075
249,535,1058,2094,3111
250,531,1029,2194,3047
251,583,1040,2036,3121
252,547,1229,2036,3465
253,603,1144,2094,3036
254,576,1228,2267,3044
255,543,1609,2032,3184
256,695,1069,2105,3063
257,655,1061,2129,3067
258,629,1053,2041,3150
259,599,1558,2202,3048
260,590,1168,2080,3078
261,554,1053,2061,3047
262,561,1283,2034,3179
263,546,1115,2047,3033
264,550,1059,2032,3207
265,755,1114,2045,3057
266,593,1065,2187,3167
267,621,1042,2115,3064
268,557,1289,2060,3125
269,598,1157,2142,3068
270,598,1062,2133,3036
271,629,1229,2089,3056
272,553,1106,2049,3021
273,861,1157,2126,3059
274,517,1058,2245,3098
275,532,1096,2028,3031
276,556,1131,2031,3061
277,593,1046,2128,3043
278,541,1047,2026,3129
279,695,1021,2049,3088
280,792,1044,2027,3088
281,1002,1049,2126,3066
282,568,1188,2042,3047
283,547,1246,2086,3077
284,644,1054,2140,3186
285,587,1047,2071,3037
286,662,1046,2042,3048
287,526,1141,2220,3919
288,934,1211,2131,3085
289,552,1046,2147,3112
290,577,1079,2039,3160
291,550,1042,2057,3028
292,577,1158,2123,3118
293,536,1039,2050,3066
294,531,1072,2032,3035
295,547,1029,2039,3099
296,1115,1047,2212,3147
297,655,1294,2198,3089
298,559,1174,2166,3210
299,594,1046,2085,3290
300,547,1252,2078,3040
301,547,1053,2066,3031
302,538,1049,2215,3103
303,566,1062,2074,3198
304,587,1041,2118,3096
305,904,1030,2038,3066
306,663,1031,2091,3035
307,567,1130,2052,3028
308,552,1080,2092,3110
309,560,1073,2043,3036
310,715,1057,2118,3309
311,630,1337,2095,3056
312,576,1305,2053,3042
313,637,1424,2122,3067
314,554,1082,2028,3108
315,536,1105,2046,3162
316,629,1037,2149,3143
317,573,1040,2019,3110
318,624,1132,2098,3046
319,554,1079,2049,3310
320,548,1086,2050,3337
321,541,1236,2097,3046
322,571,1050,2073,3057
323,680,1033,2063,3227
324,676,1034,2036,3150
325,544,1030,2032,3168
326,609,1065,2049,3028
327,671,1211,2122,3052
328,561,1242,2036,3048
329,691,1146,2018,3140
330,593,1035,2050,3067
331,648,1043,2432,3104
332,537,1027,2057,3230
333,622,1067,2046,3023
334,528,1064,2067,3034
335,641,1149,2092,3138
336,558,1028,2040,3030
337,577,1116,2074,3275
338,740,1075,2056,3084
339,589,1344,2050,3032
340,962,1019,2064,3051
341,540,1030,2074,3334
342,612,1279,2108,3046
343,623,1070,2055,3147
344,733,1034,2056,3061
345,555,1072,2033,3138
346,556,1095,2055,3420
347,539,1067,2121,3069
348,534,1034,2160,3046
349,605,1139,2098,3038
350,566,1134,2048,3069
351,545,1060,2119,3186
352,653,1121,2096,3237
353,551,1085,2037,3158
354,518,1174,2030,3123
355,535,1056,2090,3231
356,676,1080,2078,3029
357,526,1034,2232,3066
358,549,1299,2101,3029
359,583,1037,2132,3061
360,687,1018,2052,3171
361,571,1061,2405,3051
362,612,1123,2033,3142
363,613,1578,2359,3359
364,530,1170,2072,3093
365,601,1147,2071,3057
366,543,1128,2066,3063
367,598,1038,2058,3112
368,599,1061,2056,3084
369,538,1191,2041,3138
370,752,1060,2352,3184
371,692,1055,2150,3072
372,763,1341,2050,3039
373,536,1097,2029,3153
374,563,1082,2077,3058
375,597,1553,2160,3086
376,615,1058,2066,3036
377,569,1273,2207,3054
378,586,1138,2105,3086
379,567,1061,2049,3044
380,553,1196,2059,3040
381,627,1138,2230,3048
382,1011,1058,2089,3066
383,550,1178,2110,3079
384,575,1099,2063,3044
385,557,1095,2062,3077
386,538,1037,2043,3036
387,617,1188,2087,3064
388,669,1049,2144,3050
389,681,1095,2194,3141
390,574,1164,2040,3061
391,572,1062,2042,3021
392,561,1058,2048,3372
393,533,1044,2051,3074
394,566,1084,2134,3062
395,628,1066,2081,3054
396,595,1036,2212,3042
397,541,1061,2147,3483
398,781,1036,2075,3132
399,616,1212,2037,3053
400,626,1063,2042,3071
401,566,1055,2060,3036
402,542,1066,2135,3044
403,599,1280,2080,3081
404,539,1263,2041,3075
405,591,1182,2122,3045
406,616,1493,2195,3059
407,579,1092,2098,3098
408,551,1251,2138,3131
409,596,1082,2159,3306
410,607,1048,2036,3050
411,541,1135,2039,3407
412,799,1050,2345,3121
413,794,1384,2083,3052
414,556,1051,2088,3150
415,526,1157,2101,3158
416,545,1481,2023,3039
417,670,1101,2135,3078
418,732,1075,2105,3073
419,536,1032,2024,3040
420,530,1031,2037,3032
421,571,1156,2160,3094
422,530,1295,2334,3110
423,586,1098,2033,3210
424,568,1032,2377,3265
425,586,1033,2047,3287
426,536,1057,2296,3029
427,590,1094,2054,3152
428,550,1049,2063,3346
429,1106,1062,2058,3099
430,559,1071,2035,3029
431,567,1067,2033,3154
432,529,1143,2063,3137
433,529,1120,2178,3101
434,564,1052,2029,3052
435,572,1028,2092,3120
436,619,1139,2115,3295
437,735,1024,2819,3036
438,689,1198,2066,3041
439,720,1138,2047,3234
440,592,1112,2030,3067
441,550,1024,2070,3067
442,525,1179,2046,3114
443,617,1101,2026,3046
444,1014,1119,2046,3066
445,852,1047,2152,3183
446,559,1106,2103,3101
447,596,1103,2040,3047
448,540,1216,2185,3042
449,560,1033,2093,3052
450,555,1318,2108,3084
451,529,1056,2080,3083
452,526,1044,2236,3032
453,529,1022,2132,3146
454,556,1133,2054,3033
455,556,1065,2080,3053
456,742,1394,2062,3057
457,596,1054,2234,3077
458,738,1082,2165,3089
459,540,1068,2018,3183
460,610,1221,2049,3099
461,542,1067,2180,3194
462,539,1155,2084,3082
463,613,1070,2425,3137
464,622,1049,2018,3279
465,584,1587,2055,3098
466,574,1040,2078,3074
467,595,1077,2041,3106
468,639,1050,2144,3050
469,579,1066,2166,3099
470,585,1043,2083,3018
471,588,1066,2056,3047
472,670,1076,2078,3129
473,533,1107,2150,3059
474,687,1026,2048,3160
475,558,1062,2245,3080
476,561,1029,2138,3040
477,538,1030,2080,3450
478,666,1148,2037,3036
479,561,1129,2072,3048
480,540,1048,2028,3058
481,566,1056,2068,3054
482,627,1034,2076,3090
483,550,1196,2057,3060
484,705,1040,2056,3053
485,809,1058,2038,3097
486,546,1109,2091,3104
487,694,1047,2214,3058
488,624,1064,2067,3076
489,790,1134,2099,3038
490,547,1074,2037,3053
491,579,1050,2121,3036
492,744,1062,2147,3189
493,572,1408,2026,3030
494,762,1125,2248,3107
495,650,1037,2265,3063
496,564,1186,2042,3036
497,634,1087,2025,3041
498,553,1137,2026,3209
499,597,1100,2042,3097
500,591,1077,2043,3074
501,916,1029,2068,3075
502,655,1187,2048,3035
503,533,1031,2116,3081
504,557,1237,2052,3072
505,580,1049,2044,3022
506,526,1126,2121,3142
507,688,1103,2257,3063
508,795,1285,2097,3074
509,689,1094,2041,3032
510,563,1323,2079,3295
511,637,1093,2040,3043
512,728,1088,2050,3025
513,531,1034,2204,3492
514,535,1120,2087,3132
515,658,1048,2051,3052
516,544,1080,2034,3048
517,538,1141,2155,3167
518,558,1084,2156,3100
519,873,1511,2056,3037
520,580,1083,2036,3086
521,533,1108,2183,3046
522,655,1201,2037,3153
523,817,1041,2076,3080
524,754,1040,2142,3047
525,557,1114,2116,3097
526,615,1191,2066,3286
527,564,1135,2174,3034
528,624,1024,2061,3134
529,532,1065,2036,3094
530,533,1138,2049,3059
531,548,1095,2098,3039
532,600,1139,2064,3068
533,547,1025,2041,3470
534,559,1107,2079,3057
535,531,1047,2097,3063
536,816,1073,2150,3088
537,630,1358,2041,3043
538,600,1206,2112,3207
539,530,1076,2292,3103
540,547,1061,2114,3078
541,546,1487,2736,3106
542,542,1325,2098,3052
543,986,1037,2104,3064
544,603,1024,2319,3105
545,758,1058,2230,3072
546,519,1040,2058,3066
547,795,1061,2030,3174
548,556,1155,2030,3095
549,603,1173,2036,3234
550,575,1161,2058,3042
551,571,1120,2047,3131
552,523,1055,2040,3076
553,637,1171,2080,3117
554,587,1131,2163,3189
555,702,1037,2065,3033
556,550,1058,2055,3029
557,606,1041,2052,3072
558,586,1051,2043,3019
559,676,1067,2030,3041
560,570,1062,2168,3186
561,573,1119,2057,3272
562,804,1049,2049,3033
563,605,1238,2078,3189
564,563,1165,2197,3088
565,942,1080,2108,3055
566,541,1045,2062,3039
567,784,1121,2067,3330
568,755,1181,2033,3050
569,564,1107,2118,3072
570,582,1447,2093,3075
571,593,1057,2128,3059
572,689,1026,2255,3124
573,553,1192,2026,3159
574,884,1089,2243,3063
575,539,1036,2035,3060
576,540,1026,2232,3067
577,531,1084,2138,3137
578,665,1146,2022,3059
579,630,1094,2057,3040
580,534,1077,2093,3053
581,542,1147,2048,3048
582,552,1103,2048,3067
583,985,1119,2189,3194
584,553,1136,2036,3041
585,628,1079,2058,3101
586,562,1079,2144,3139
587,638,1078,2098,3058
588,541,1048,2047,3078
589,584,1075,2077,3182
590,583,1100,2059,3108
591,562,1076,2145,3075
592,679,1101,2059,3081
593,572,1140,2038,3204
594,585,1039,2134,3050
595,543,1068,2020,3029
596,859,1068,2041,3113
597,561,1070,2146,3132
598,527,1043,2039,3150
599,650,1065,2105,3225
600,649,1339,2046,3051
601,591,1049,2299,3340
602,561,1038,2067,3043
603,605,1226,2052,3044
604,625,1083,2040,3084
605,570,1031,2103,3072
606,569,1044,2221,3054
607,588,1039,2040,3031
608,579,1093,2075,3115
609,549,1139,2254,3052
610,640,1081,2067,3053
611,563,1079,2177,3040
612,1201,1059,2088,3076
613,558,1051,2095,3074
614,573,1060,2038,3021
615,633,1101,2073,3069
616,553,1109,2026,3044
617,586,1065,2058,3031
618,545,1077,2053,3053
619,1040,1037,2071,3175
620,533,1076,2029,3172
621,622,1078,2063,3094
622,684,1030,2129,3546
623,564,1022,2065,3132
624,613,1119,2050,3053
625,889,1083,2040,3020
626,614,1209,2067,3030
627,555,1107,2130,3031
628,701,1044,2155,3108
629,596,1169,2081,3106
630,547,1080,2107,3036
631,582,1136,2147,3135
632,633,1409,2147,3078
633,536,1061,2035,3075
634,651,1070,2045,3035
635,932,1035,2111,3023
636,529,1254,2651,3048
637,660,1055,2107,3054
638,667,1244,2059,3180
639,636,1028,2073,3058
640,644,1063,2123,3187
641,582,1066,2083,3034
642,616,1167,2029,3063
643,986,1208,2032,3183
644,571,1106,2047,3085
645,535,1057,2110,3075
646,638,1066,2057,3253
647,715,1208,2056,3060
648,527,1045,2043,3039
649,543,1149,2037,3078
650,627,1041,2100,3082
651,869,1031,2094,3075
652,537,1034,2162,3315
653,618,1090,2062,3225
654,568,1036,2171,3038
655,1143,1044,2114,3135
656,553,1194,2062,3059
657,612,1040,2057,3107
658,568,1143,2068,3139
659,555,1040,2101,3049
660,588,1060,2099,3054
661,582,1111,2107,3044
662,572,1027,2061,3042
663,576,1131,2045,3147
664,597,1043,2141,3036
665,531,1031,2105,3303
666,554,1029,2071,3200
667,586,1228,2051,3063
668,530,1045,2044,3090
669,577,1136,2049,3103
670,563,1091,2069,3091
671,591,1043,2043,3614
672,677,1037,2102,3077
673,1011,1096,2048,3077
674,621,1057,2028,3062
675,582,1078,2108,3368
676,574,1149,2041,3047
677,563,1062,2490,3160
678,563,1247,2037,3209
679,553,1062,2176,3049
680,534,1065,2186,3082
681,561,1045,2125,3017
682,585,1114,2036,3086
683,731,1084,2094,3074
684,610,1071,2159,3028
685,575,1043,2172,3058
686,551,1041,2270,3152
687,548,1047,2067,3214
688,760,1045,2034,3017
689,532,1297,2017,3105
690,1236,1064,2099,3086
691,619,1129,2333,3356
692,583,1054,2059,3042
693,570,1101,2373,3030
694,523,1118,2119,3029
695,812,1062,2068,3114
696,677,1058,2091,3048
697,545,1094,2044,3189
698,638,1114,2229,3047
699,529,1031,2045,3014
700,681,1095,2031,3049
701,558,1106,2057,3335
702,622,1137,2069,3095
703,576,1134,2041,3025
704,582,1057,2082,3270
705,557,1155,2118,3053
706,537,1070,2105,3033
707,658,1046,2065,3033
708,541,1123,2120,3062
709,730,1075,2042,3029
710,648,1061,2072,3031
711,536,1028,2361,3128
712,586,1060,2064,3099
713,569,1171,2289,3051
714,573,1065,2106,3049
715,566,1044,2095,3075
716,544,1024,2024,3052
717,644,1105,2107,3123
718,564,1072,2054,3050
719,551,1045,2241,3092
720,555,1268,2050,3062
721,539,1080,2035,3043
722,531,1167,2059,3085
723,617,1068,2049,3059
724,559,1379,2085,3271
725,554,1264,2081,3079
726,644,1060,2087,3066
727,560,1031,2259,3286
728,537,1048,2042,3081
729,548,1063,2190,3044
730,636,1066,2211,3024
731,530,1027,2199,3174
732,533,1063,2150,3093
733,597,1071,2054,3050
734,540,1074,2074,3045
735,520,1142,2138,3159
736,555,1167,2102,3064
737,531,1085,2047,3038
738,527,1089,2029,3120
739,581,1028,2261,3117
740,543,1052,2042,3025
741,683,1133,2177,3038
742,557,1074,2053,3033
743,661,1018,2107,3106
744,609,1047,2067,3144
745,550,1022,2128,3094
746,742,1029,2027,3036
747,584,1067,2134,3095
748,552,1044,2032,3029
749,535,1026,2044,3190
750,667,1058,2689,3071
751,591,1039,2140,3251
752,604,1115,2086,3400
753,605,1148,2047,3169
754,930,1111,2028,3046
755,550,1026,2103,3090
756,551,1056,2103,3045
757,633,1226,2083,3172
758,839,1052,2218,3154
759,591,1070,2125,3035
760,596,1088,2169,3132
761,629,1150,2065,3056
762,589,1025,2232,3050
763,555,1046,2185,3276
764,620,1060,2061,3085
765,958,1321,2186,3152
766,579,1106,2349,3042
767,540,1372,2032,3034
768,577,1028,2089,3130
769,543,1091,2088,3032
770,581,1040,2075,3139
771,566,1128,2130,3249
772,597,1023,2049,3027
773,584,1161,2102,3055
774,621,1187,2049,3118
775,530,1086,2132,3148
776,526,1124,2146,3076
777,738,1119,2027,3101
778,702,1114,2146,3052
779,570,1083,2076,3148
780,592,1074,2050,3176
781,556,1133,2213,3066
782,543,1100,2071,3113
783,534,1083,2323,3051
784,557,1054,2238,3130
785,748,1079,2087,3077
786,933,1030,2052,3110
787,707,1044,2054,3051
788,565,1376,2081,3045
789,668,1034,2252,3142
790,846,1069,2139,3046
791,609,1392,2160,3047
792,601,1066,2085,3048
793,540,1217,2099,3047
794,548,1073,2360,3099
795,530,1062,2093,3144
796,599,1109,2227,3078
797,597,1058,2020,3023
798,656,1129,2048,3573
799,531,1057,2120,3113
800,813,1124,2032,3124
801,593,1097,2078,3075
802,565,1214,2121,3064
803,597,1025,2072,3035
804,585,1093,2329,3035
805,542,1110,2021,3049
806,646,1097,2180,3037
807,591,1124,2049,3066
808,535,1422,2052,3138
809,577,1164,2039,3032
810,716,1084,2110,3112
811,622,1094,2041,3086
812,598,1112,2031,3214
813,576,1056,2086,3100
814,794,1037,2053,3068
815,636,1039,2061,3127
816,736,1044,2184,3254
817,553,1370,2293,3061
818,531,1061,2150,3090
819,551,1064,2031,3053
820,542,1125,2497,3034
821,681,1125,2033,3256
822,670,1228,2348,3052
823,605,1301,2099,3073
824,545,1159,2078,3038
825,570,1026,2037,3054
826,810,1115,2032,3102
827,628,1052,2069,3071
828,587,1033,2055,3147
829,643,1050,2070,3165
830,794,1087,2080,3094
831,596,1053,2065,3064
832,725,1360,2090,3049
833,538,1055,2100,3085
834,558,1055,2100,3188
835,544,1047,2064,3071
836,544,1059,2073,3045
837,574,1050,2182,3136
838,616,1082,2054,3070
839,528,1117,2033,3806
840,593,1093,2169,3051
841,625,1082,2080,3175
842,612,1136,2055,3077
843,532,1124,2038,3067
844,663,1082,2161,3057
845,641,1048,2156,3092
846,534,1251,2097,3020
847,634,1042,2288,3037
848,645,1198,2027,3040
849,617,1267,2131,3092
850,646,1042,2068,3098
851,596,1028,2037,3064
852,565,1110,2252,3045
853,589,1125,2052,3058
854,567,1028,2123,3055
855,519,1035,2053,3038
856,604,1084,2055,3024
857,540,1038,2044,3031
858,740,1044,2037,3066
859,558,1040,2169,3095
860,655,1120,2256,3155
861,606,1124,2053,3089
862,550,1071,2125,3071
863,579,1118,2095,3096
864,728,1123,2237,3215
865,562,1068,2043,3077
866,524,1028,2324,3044
867,559,1037,2050,3188
868,582,1104,2056,3045
869,597,1042,2040,3063
870,615,1053,2235,3075
871,583,1143,2031,3040
872,526,1093,2099,3100
873,657,1070,2050,3023
874,755,1259,2090,3048
875,720,1061,2087,3039
876,803,1112,2266,3284
877,643,1105,2094,3078
878,539,1090,2126,3175
879,580,1382,2045,3123
880,550,1054,2137,3059
881,573,1206,2047,3059
882,671,1197,2050,3077
883,621,1151,2031,3332
884,624,1034,2156,3127
885,559,1189,2247,3224
886,826,1025,2048,3143
887,535,1121,2070,3027
888,641,1045,2100,3054
889,657,1042,2100,3114
890,830,1127,2082,3057
891,861,1254,2023,3161
892,524,1038,2067,3051
893,717,1070,2110,3081
894,728,1046,2224,3076
895,558,1035,2076,3036
896,549,1030,2072,3030
897,548,1258,2223,3067
898,629,1099,2067,3148
899,961,1067,2049,3030
900,562,1133,2044,3249
901,562,1037,2039,3069
902,876,1044,2103,3029
903,856,1023,2029,3067
904,625,1481,2081,3038
905,606,1445,2035,3141
906,545,1048,2055,3190
907,709,1129,2413,3054
908,555,1087,2092,3128
909,611,1204,2207,3185
910,616,1284,2039,3098
911,549,1045,2061,3175
912,538,1081,2113,3075
913,604,1054,2051,3058
914,625,1210,2073,3075
915,702,1072,2232,3039
916,536,1239,2032,3050
917,591,1035,2113,3212
918,576,1156,2117,3143
919,539,1262,2065,3047
920,786,1039,2161,3216
921,551,1078,2070,3044
922,567,1044,2098,3067
923,558,1077,2076,3048
924,550,1097,2121,3032
925,621,1034,2178,3206
926,529,1035,2100,3062
927,552,1094,2154,3072
928,568,1111,2031,3037
929,600,1171,2033,3157
930,733,1064,2107,3045
931,548,1030,2044,3087
932,923,1052,2063,3077
933,552,1033,2084,3142
934,608,1017,2038,3056
935,587,1046,2039,3175
936,595,1034,2071,3047
937,547,1245,2058,3030
938,582,1124,2130,3042
939,579,1052,2122,3186
940,665,1262,2020,3132
941,536,1291,2051,3389
942,542,1100,2102,3308
943,530,1219,2181,3102
944,583,1048,2176,3065
945,543,1055,2054,3128
946,549,1075,2248,3028
947,579,1070,2053,3036
948,565,1042,2037,3313
949,688,1043,2079,3044
950,520,1128,2097,3056
951,560,1131,2041,3182
952,749,1111,2125,3153
953,561,1026,2116,3065
954,599,1095,2184,3039
955,608,1024,2109,3172
956,713,1219,2183,3112
957,564,1055,2041,3020
958,902,1041,2171,3031
959,653,1192,2200,3747
960,563,1042,2021,3047
961,579,1065,2104,3102
962,587,1260,2307,3201
963,648,1050,2064,3148
964,883,1172,2109,3114
965,537,1054,2272,3206
966,622,1085,2042,3048
967,544,1043,2032,3034
968,534,1039,2209,3080
969,770,1056,2051,3340
970,605,1166,2118,3064
971,578,1045,2064,3136
972,557,1051,2084,3157
973,558,1032,2069,3165
974,650,1084,2047,3200
975,584,1048,2060,3107
976,604,1049,2087,3056
977,632,1044,2080,3110
978,535,1674,2115,3454
979,693,1058,2157,3153
980,559,1043,2131,3034
981,565,1115,2206,3073
982,584,1077,2270,3066
983,637,1166,2211,3029
984,555,1056,2070,3240
985,579,1071,2041,3049
986,983,1110,2035,3167
987,579,1301,2071,3194
988,631,1070,2047,3123
989,549,1044,2052,3124
990,807,1104,2042,3096
991,630,1038,2063,3170
992,632,1316,2047,3167
993,931,1060,2039,3112
994,530,1063,2027,3031
995,679,1089,2062,3044
996,579,1139,2080,3224
997,560,1050,2130,3033
998,564,1045,2061,3056
999,556,1123,2107,3082
